Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
SOCOM: U.S. Navy SEALs Confrontation,2008,0.94,0.16,0.02,0.13,1.25,63,64,223,6.73,7.03,6.44
SSX,2012,0.35,0.41,0.02,0.14,0.91,81,38,110,8.38,8.68,8.09
SWAT 4,2005,0,0.02,0,0,0.03,85,49,224,8.12,8.12,8.13
Sacred 2: Fallen Angel,2008.5,0.11,0.135,0.04,0.05,0.335,70.5,43,127,7.28,7.33,7.23
Sacred 3,2014,0.03,0.04,0.03,0.01,0.1,56,13,46,7.03,8.02,6.05
Saint Seiya: Soldiers' Soul,2015,0,0.12,0.04,0.02,0.18,59,30,45,7.62,9.33,5.91
Saints Row 2,2008.5,0.44,0.285,0.01,0.13,0.86,77,37,257.5,7.89,8.265,7.515
Saints Row IV,2013,0.335,0.235,0.045,0.105,0.72,81,35.5,910.5,8.51,8.97,8.055
Saints Row: Gat out of Hell,2015,0,0.04,0,0.01,0.05,64,45,98,7.76,8.5,7.01
Saints Row: The Third,2011,0.51,0.6,0.09,0.22,1.425,83,36,823.5,8.62,9.31,7.93
Samurai Warriors 4,2014,0.08,0.07,0.06,0.03,0.24,76,31,74,8.26,8.93,7.59
Samurai Warriors 4-II,2015,0.03,0.02,0.06,0.01,0.12,73,26,24,8.03,9.02,7.04
Samurai Warriors 4: Empires,2015,0.02,0.01,0.06,0.01,0.1,71,29,15,7.94,8.77,7.12
Samurai Warriors Chronicles 3,2014,0,0,0.08,0,0.08,63,13,10,7.61,8.66,6.56
Scarface: The World is Yours,2006,0.01,0.02,0,0,0.04,73,18,57,7.56,7.62,7.51
Scribblenauts Unmasked: A DC Comics Adventure,2013,0.09,0,0,0.01,0.1,68,7,20,7.78,8.76,6.79
Secret Files 2: Puritas Cordis,2009,0,0.03,0,0,0.04,64,14,17,7.39,7.74,7.04
Section 8,2009,0.02,0.01,0,0,0.03,72,31,78,7.15,7.17,7.12
Sega Superstars Tennis,2008,0.13,0.2,0,0.07,0.4,67,31,7,7.2,7.43,6.97
Senran Kagura: Estival Versus,2015,0.08,0,0.08,0.02,0.18,67,25,96,8.16,9.29,7.03
