Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,PlayScore,GameScore,CriticScore
Venetica,PC,2009,Role-Playing,DTP Entertainment,0,0.04,0,0.01,0.05,61,17,6.8,51,Deck 13,T,7.08,7.62,6.53
Operation Flashpoint: Dragon Rising,PC,2009,Shooter,Codemasters,0.02,0.03,0,0.01,0.05,76,29,4.9,539,Codemasters,M,6.99,6.52,7.46
The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,0,0.05,0,0,0.05,66,45,6.5,621,2K Marin,M,6.62,6.63,6.62
Steins;Gate 0,PS4,2015,Adventure,PQube,0,0,0.05,0,0.05,81,17,8.3,29,5pb,M,8.62,9.29,7.95
Star Wars: Republic Commando,PC,2005,Shooter,LucasArts,0,0.04,0,0.01,0.05,78,34,8.7,279,LucasArts,T,8.48,9.26,7.71
Plants vs. Zombies,PC,2009,Strategy,PopCap Games,0,0.04,0,0.01,0.05,87,41,8.9,891,PopCap,E10+,8.94,9.51,8.36
Metroid Prime: Federation Force,3DS,2016,Action,Nintendo,0.02,0.01,0.01,0,0.05,64,56,5.1,219,"Next Level Games, Nintendo",T,7.75,8.97,6.52
Payday 2,PC,2013,Shooter,505 Games,0.04,0,0,0.01,0.05,79,51,3.4,3558,Overkill Software,M,8.22,8.69,7.75
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01,0.05,64,45,5.7,98,Volition Inc.,M,7.76,8.5,7.01
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0,0.04,0,0,0.05,82,6,7.5,44,PopCap,E10+,8.14,8.16,8.12
