Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
GBA,2006,452358,2.699999999999997,0.9800000000000004,1.5100000000000002,0.09,5.35
GBA,2007,47891,1.58,0.5800000000000001,0.0,0.03,2.2199999999999998
GC,2001,104746,16.91,4.799999999999999,3.8499999999999996,0.7800000000000002,26.299999999999997
GC,2002,1368419,34.71000000000001,10.489999999999965,5.280000000000001,1.3300000000000005,51.93
GC,2003,1330273,32.639999999999986,10.229999999999976,6.429999999999999,1.3100000000000005,50.660000000000004
GC,2004,674451,19.71000000000002,5.329999999999993,2.9999999999999996,0.7800000000000005,28.889999999999983
GC,2005,823549,19.249999999999993,5.129999999999991,2.57,0.6700000000000004,27.799999999999976
GC,2006,318654,8.51,2.28,0.21,0.26000000000000006,11.29
GC,2007,50500,0.21,0.060000000000000005,0.0,0.0,0.27
GEN,1990,589,1.8599999999999999,0.55,0.11,0.08,2.6
GEN,1991,255,3.03,0.91,0.26,0.13,4.34
GEN,1992,22000,9.17,2.38,0.72,0.37,12.66
GEN,1993,79335,0.0,0.0,0.6500000000000001,0.0,0.6500000000000001
GEN,1994,87840,5.21,1.6800000000000002,0.93,0.30999999999999994,8.109999999999998
GG,1992,13527,0.0,0.0,0.04,0.0,0.04
N64,1996,88251,21.029999999999998,6.720000000000001,5.7700000000000005,0.5800000000000001,34.10999999999999
N64,1997,277801,25.839999999999993,8.089999999999996,4.659999999999999,0.9100000000000004,39.509999999999984
N64,1998,512388,31.389999999999986,10.349999999999993,6.54,0.9600000000000003,49.28000000000002
N64,1999,692729,38.77000000000001,9.739999999999988,8.540000000000001,0.8200000000000003,57.95999999999997
N64,2000,421324,19.74,5.589999999999997,7.719999999999999,0.9200000000000004,34.00999999999999
N64,2001,56934,2.0800000000000005,0.52,0.53,0.12,3.2600000000000002
N64,2002,11482,0.06,0.02,0.0,0.0,0.08
NES,1983,7404,2.3200000000000003,0.46,8.1,0.08,10.959999999999999
NES,1984,16613,33.02,2.09,14.269999999999998,0.7000000000000002,50.09000000000001
NES,1985,20958,33.309999999999995,4.68,14.540000000000001,0.9100000000000001,53.44
NES,1986,24944,11.870000000000001,2.8000000000000007,19.81,1.9300000000000002,36.410000000000004
NES,1987,12936,6.620000000000001,1.32,11.63,0.19000000000000003,19.759999999999998
NES,1988,10436,22.36,6.300000000000001,15.409999999999998,0.9400000000000001,45.01
NES,1989,18308,4.75,0.81,2.2,0.09,7.849999999999999
NES,1990,13343,6.08,1.5900000000000003,7.84,0.22,15.74
NES,1991,22973,2.83,0.52,2.5999999999999996,0.16,6.110000000000001
NES,1992,16428,0.8400000000000001,0.14,0.97,0.03,1.9800000000000002
NES,1993,12177,1.9400000000000002,0.44000000000000006,1.17,0.060000000000000005,3.61
NES,1994,10311,0.0,0.0,0.11,0.0,0.11
NG,1993,21284,0.0,0.0,0.21000000000000002,0.0,0.21000000000000002
NG,1994,31004,0.0,0.0,0.7999999999999999,0.0,0.7999999999999999
NG,1995,48995,0.0,0.0,0.33000000000000007,0.0,0.33000000000000007
NG,1996,26705,0.0,0.0,0.1,0.0,0.1
PC,1985,14338,0.0,0.03,0.0,0.01,0.03
PC,1988,14510,0.0,0.02,0.0,0.01,0.03
PC,1992,46608,1.24,1.66,0.0,0.11,3.0199999999999996
PC,1994,19217,5.549999999999999,6.85,0.0,0.45999999999999996,12.85
PC,1995,16246,1.7100000000000002,2.27,0.0,0.23,4.2299999999999995
PC,1996,3892,5.56,4.680000000000001,0.0,0.34,10.59
PC,1997,35084,8.76,2.1899999999999995,0.09,0.23,11.260000000000002
PC,1998,80187,3.05,0.19999999999999998,0.0,0.03,3.2800000000000002
