,Name,Platform,Play Score,Game Score,Critic Score
1793,The Long Dark,PC,8.4,9.1,7.71
1794,Agent Intercept,iOS,7.9,9.1,6.71
1795,Insurgency,PC,8.18,9.1,7.27
1796,Geometry Wars 3: Dimensions Evolved,PS4,8.71,9.09,8.32
1797,The Banner Saga 2,PS4,8.47,9.09,7.85
1798,Attack on Titan 2,PS4,8.29,9.09,7.48
1799,Whispers of a Machine,PC,8.41,9.09,7.72
1800,Hyperdimension Neptunia Re;Birth2: Sisters Generation,PC,8.06,9.09,7.03
1801,Train Station 2: Rail Strategy,iOS,7.9,9.09,6.71
1802,Hearts of Iron IV,PC,8.6,9.09,8.1
1803,The Knight Watch,iOS,8.09,9.09,7.08
1804,Euclidean Skies,iOS,8.33,9.09,7.57
1805,BATMAN: The Telltale Series,PS4,8.15,9.09,7.2
1806,Runbow Pocket,3DS,7.9,9.09,6.71
1807,INKS.,iOS,8.37,9.09,7.65
1808,Calculords,iOS,8.52,9.09,7.95
1809,ICEY,PC,8.34,9.09,7.6
1810,Dead Space,PS3,8.74,9.09,8.38
1811,Wreckfest,PS4,8.52,9.09,7.94
1812,Two Point Hospital,PC,8.71,9.09,8.34
1813,No Heroes Allowed VR!,PS4,8.12,9.09,7.14
1814,Oxenfree,PC,8.55,9.09,8.02
1815,From Dust,PS3,8.31,9.09,7.54
1816,Poly Bridge,PC,8.07,9.09,7.05
1817,Farming Simulator 19,PC,8.16,9.09,7.23
1818,Elsinore,PC,8.17,9.09,7.25
1819,Dark Legends,iOS,8.49,9.09,7.89
1820,Prison Architect,PC,8.63,9.09,8.18
1821,Resident Evil: Revelations 2 - Complete Season,PS3,8.35,9.09,7.61
1822,Disgaea 3: Absence of Detention,PS Vita,8.36,9.09,7.62
1823,Sleeping Dogs: Definitive Edition,PC,8.49,9.09,7.9
1824,Valiant Hearts: The Great War,Xbox One,8.49,9.09,7.89
1825,Cut the Rope 2,iOS,8.71,9.09,8.34
1826,Borderlands,PS3,8.58,9.09,8.08
1827,Snowboard Party 2,iOS,8.45,9.09,7.8
1828,Earn to Die 2,iOS,8.0,9.09,6.91
1829,Westerado: Double Barreled,PC,8.5,9.09,7.91
1830,Days Gone,PS4,8.3,9.09,7.51
1831,Hellblade: Senua's Sacrifice,PC,8.63,9.09,8.17
1832,Star Wars: Galaxy of Heroes,iOS,8.17,9.09,7.25
1833,Yomawari: Midnight Shadows,PS4,8.44,9.09,7.8
1834,Tomb of the Mask,iOS,8.43,9.09,7.78
1835,Gangstar Vegas,iOS,7.74,9.09,6.39
1836,Salt and Sanctuary,PC,8.36,9.08,7.64
1837,Starbound,PC,8.64,9.08,8.2
1838,Sunless Sea: Zubmariner Edition,PS4,8.32,9.08,7.56
1839,Technobabylon,iOS,8.68,9.08,8.27
1840,Unepic,PS Vita,8.22,9.08,7.36
1841,Spiritfarer,PS4,8.51,9.08,7.94
1842,It's Full of Sparks,iOS,8.51,9.08,7.94
1843,Pigeon Wings Strike,iOS,8.58,9.08,8.08
1844,Motorsport Manager,PC,8.39,9.08,7.69
1845,Sword Art Online: Fatal Bullet,PS4,7.9,9.08,6.72
1846,Spelunky,PS Vita,8.72,9.08,8.36
1847,Overcooked,PC,8.47,9.08,7.87
1848,Bejeweled Stars,iOS,8.26,9.08,7.43
1849,DAEMON X MACHINA,PC,8.15,9.08,7.22
1850,Kathy Rain,PC,8.51,9.08,7.94
1851,F.E.A.R.,PC,8.67,9.08,8.25
1852,Minecraft: Playstation 4 Edition,PS4,8.74,9.08,8.4
1853,Legend of Grimrock,PC,8.56,9.08,8.05
1854,Battle Chef Brigade,PS4,8.5,9.08,7.92
1855,Mr Pumpkin 2: Walls of Kowloon,Android,8.38,9.08,7.68
1856,Trials Frontier,iOS,7.86,9.08,6.64
1857,SiNKR,PC,8.31,9.08,7.54
1858,Beholder,PC,8.32,9.08,7.56
1859,Another Lost Phone: Laura's Story,iOS,8.34,9.08,7.6
1860,Valley,PC,8.06,9.08,7.03
1861,Rayman Origins,PC,8.79,9.08,8.51
1862,Omensight,PS4,8.31,9.08,7.54
1863,Geometry Wars 3: Dimensions Evolved,PS Vita,8.42,9.08,7.75
1864,Samurai Warriors 4: Empires,PS3,8.06,9.08,7.05
1865,Quadrilateral Cowboy,PC,8.65,9.08,8.23
1866,Dead Block,PS3,7.73,9.08,6.38
1867,Atelier Ayesha Plus: The Alchemist of Dusk,PS Vita,8.26,9.08,7.43
1868,Grim Fandango Remastered,PS Vita,8.7,9.08,8.33
1869,Sunset Overdrive,PC,8.39,9.08,7.71
1870,The Evil Within 2,PC,8.42,9.08,7.76
1871,LEGO Marvel Super Heroes 2,Switch,8.23,9.08,7.38
1872,Mount & Blade: Warband,PS4,8.15,9.08,7.23
1873,Rainbow Skies,PS4,7.65,9.08,6.22
1874,Day of the Tentacle Remastered,iOS,8.45,9.08,7.83
1875,Star Wars: Knights of the Old Republic II - Sith Lord,PC,8.53,9.08,7.98
1876,FIFA 15,PS4,8.62,9.08,8.16
1877,Yo-kai Watch 2: Psychic Specters,3DS,8.3,9.08,7.52
1878,Bayonetta,PC,8.85,9.08,8.62
1879,Battleheart Legacy,iOS,8.89,9.08,8.71
1880,Ace Combat 7: Skies Unknown,PS4,8.57,9.08,8.07
1881,MORTAL KOMBAT X,iOS,8.13,9.08,7.18
1882,Hard Corps: Uprising,PS3,8.3,9.08,7.53
1883,Call of Juarez: Gunslinger,PS3,8.28,9.08,7.49
1884,Lonely Mountains: Downhill,PC,8.4,9.08,7.72
1885,FIM Speedway Grand Prix 15,PC,7.92,9.08,6.76
1886,LUFTRAUSERS,PC,8.57,9.08,8.07
1887,Cars 3: Driven to Win,PS4,8.07,9.08,7.07
1888,Legend of Grimrock,iOS,8.89,9.07,8.7
1889,Roundguard,iOS,8.53,9.07,7.99
1890,Elune,iOS,7.82,9.07,6.57
1891,The Banner Saga,PS4,8.47,9.07,7.87
1892,Year Walk,PC,8.44,9.07,7.81
1893,HoPiKo,Android,8.49,9.07,7.91
1894,Resident Evil HD Remaster,PC,8.61,9.07,8.15
1895,Injustice 2: Legendary Edition,Xbox One,8.4,9.07,7.73
1896,Battle Breakers,iOS,7.69,9.07,6.31
1897,Badland,iOS,8.73,9.07,8.39
1898,Assassin's Creed II,PS3,8.93,9.07,8.78
1899,My Hero One's Justice,PS4,7.95,9.07,6.82
1900,Crusader Kings III,PC,8.97,9.07,8.86
1901,Samurai Gunn,PC,8.36,9.07,7.65
1902,Dynasty Warriors 8: Empires,PS3,7.73,9.07,6.39
1903,Valfaris,PC,8.51,9.07,7.95
1904,Stardew Valley,Xbox One,8.48,9.07,7.89
1905,Dead or Alive 5: Last Round,PS4,8.17,9.07,7.28
1906,Kingdoms of Amalur: Reckoning,PS3,8.48,9.07,7.88
1907,Ragnarok M - Eternal Love,iOS,8.2,9.07,7.33
1908,Golf Club: Wasteland,iOS,8.76,9.07,8.46
1909,"Football, Tactics & Glory",PC,8.16,9.07,7.24
1910,Guns of Icarus Online,PC,7.87,9.07,6.66
1911,Monument Valley,iOS,8.97,9.07,8.87
1912,King Cashing 2,iOS,8.77,9.07,8.47
1913,Glitchskier,iOS,8.47,9.07,7.87
1914,CSR Racing,iOS,8.02,9.07,6.98
1915,Sword Art Online: Hollow Realization,PS4,8.0,9.07,6.93
1916,Dino Hunter: Deadly Shores,iOS,8.14,9.07,7.2
1917,Blossom Blast Saga,iOS,8.17,9.07,7.27
1918,Dragon Quest XI: Echoes of an Elusive Age,PC,8.69,9.07,8.3
1919,Mobfish Hunter,iOS,8.31,9.07,7.56
1920,Super Tank Blitz,iOS,7.9,9.07,6.73
1921,Under Night In-Birth Exe:Late[cl-r],Switch,8.46,9.07,7.86
1922,Hyper Light Drifter,Xbox One,8.49,9.07,7.91
1923,Little Nightmares,PC,8.43,9.07,7.79
1924,RAD Boarding,iOS,8.18,9.07,7.29
1925,Dragon Ball FighterZ,Switch,8.78,9.07,8.49
1926,Xenoblade Chronicles: Definitive Edition,Switch,8.9,9.07,8.73
1927,Black Desert Mobile,iOS,8.03,9.07,6.99
1928,Nexomon: Extinction,PS4,7.88,9.07,6.69
1929,Saints Row IV,PC,8.62,9.06,8.19
1930,God Eater 3,PS4,8.14,9.06,7.22
1931,Middle-earth: Shadow of Mordor,PC,8.79,9.06,8.53
1932,Battlefield 3,PS3,8.65,9.06,8.23
1933,Boson X,iOS,8.58,9.06,8.1
1934,KILL la KILL - IF,PS4,7.95,9.06,6.83
1935,DG2: Defense Grid 2,PS4,8.44,9.06,7.81
1936,Angry Birds Stella POP!,iOS,8.22,9.06,7.38
1937,Hot Wheels Infinite Loop,iOS,8.37,9.06,7.68
1938,The Stanley Parable,PC,8.9,9.06,8.73
1939,Ghost of a Tale,PC,8.29,9.06,7.51
1940,The Legend of Heroes: Trails of Cold Steel,PS Vita,8.31,9.06,7.56
1941,Little Witch Academia: Chamber of Time,PS4,7.36,9.06,5.66
1942,Anarcute,PC,8.18,9.06,7.3
1943,Turok 2: Seeds of Evil Remastered,Xbox One,8.29,9.06,7.51
1944,Aliens Drive Me Crazy,iOS,8.36,9.06,7.67
1945,Void Tyrant,iOS,8.56,9.06,8.07
1946,Oh…Sir! The Insult Simulator,PC,7.81,9.06,6.57
1947,Mario & Luigi: Bowser's Inside Story + Bowser Jr's Journey,3DS,8.62,9.06,8.19
1948,Ys: Memories of Celceta,PC,8.33,9.06,7.61
1949,Clustertruck,PC,8.38,9.06,7.7
1950,Bring You Home,iOS,8.59,9.06,8.12
1951,Forgotton Anne,PC,8.46,9.06,7.87
1952,The Curious Expedition,PC,8.33,9.06,7.59
1953,Bioshock,PS3,9.03,9.06,9.01
1954,Pokemon Ultra Moon,3DS,8.71,9.06,8.37
1955,Hitman GO,iOS,8.48,9.06,7.9
1956,Robot Roller-Derby Disco Dodgeball,PC,8.18,9.06,7.29
1957,Divinity: Original Sin Enhanced Edition,PS4,8.85,9.06,8.64
1958,Beholder 2,iOS,8.2,9.06,7.33
1959,Costume Quest 2,PS3,8.18,9.06,7.3
1960,Rayman Legends,PC,8.95,9.06,8.84
1961,Shadow Warrior 2,PS4,8.22,9.06,7.37
1962,BlazBlue: Continuum Shift Extend,PS Vita,8.52,9.06,7.98
1963,Angry Birds Blast,iOS,7.8,9.06,6.54
1964,Dead Rising 2: Off the Record,PS3,8.02,9.06,6.99
1965,Star Wars Episode I: Racer,PS4,8.02,9.06,6.98
1966,Monster Boy and the Cursed Kingdom,PC,8.54,9.06,8.02
1967,Nioh 2,PS4,8.81,9.06,8.57
1968,Pit People,Xbox One,8.43,9.06,7.81
1969,Transformers: Devastation,PC,8.35,9.06,7.65
1970,Furi,PC,8.33,9.06,7.6
1971,Psikyo Shooting Stars Alpha,Switch,8.11,9.06,7.16
1972,Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,PC,7.97,9.06,6.88
1973,Pistol Whip,PC,8.42,9.05,7.78
1974,Need for Speed: Most Wanted - A Criterion Game,PS Vita,8.42,9.05,7.78
1975,Grand Theft Auto: Vice City,PC,8.64,9.05,8.23
1976,Nono Islands,iOS,8.26,9.05,7.47
1977,Tesla vs Lovecraft,PS4,8.18,9.05,7.31
1978,Outer Wilds,Xbox One,8.73,9.05,8.4
1979,Out of the Park Baseball 17,PC,8.46,9.05,7.86
1980,99 Bricks Wizard Academy,iOS,8.56,9.05,8.08
1981,Senran Kagura: Peach Beach Splash,PS4,8.08,9.05,7.11
1982,Orwell,PC,8.42,9.05,7.8
1983,Valkyria Chronicles,PC,8.71,9.05,8.36
1984,The Legend of Heroes: Trails in the Sky the 3rd,PC,8.61,9.05,8.18
1985,Bubble Witch 2 Saga,iOS,8.11,9.05,7.17
1986,Danganronpa Another Episode: Ultra Despair Girls,PS4,7.94,9.05,6.84
1987,Swords and Souls: Neverseen,PC,8.17,9.05,7.29
1988,"Warhammer 40,000: Space Marine",PC,8.14,9.05,7.22
1989,Death Road to Canada,PS4,8.52,9.05,7.98
1990,Company of Heroes,PC,8.91,9.05,8.76
1991,Element - RTS,iOS,8.51,9.05,7.97
1992,Knights and Bikes,PC,8.39,9.05,7.73
1993,Scribblenauts Unlimited,PC,8.36,9.05,7.66
1994,Tomb Raider: Definitive Edition,Xbox One,8.77,9.05,8.5
1995,Lego Marvel Avengers,PS3,8.08,9.05,7.11
1996,Rogue Legacy,PS3,8.61,9.05,8.18
1997,STAR WARS Jedi: Fallen Order,Xbox One,8.65,9.05,8.25
1998,Fell Seal: Arbiter's Mark,PC,8.55,9.05,8.06
1999,Mortal Kombat,PS Vita,8.66,9.05,8.27
2000,Asphalt Street Storm Racing,iOS,7.94,9.05,6.83
2001,Prison Architect: Mobile,iOS,8.96,9.05,8.87
2002,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,PS Vita,8.21,9.05,7.37
2003,Hyperdimension Neptunia Re;Birth3: V Generation,PS Vita,8.06,9.05,7.08
2004,Atelier Rorona Plus: The Alchemist of Arland,PS Vita,8.29,9.05,7.53
2005,Geometry Wars 3: Dimensions Evolved,PS3,8.65,9.05,8.25
2006,Hatoful Boyfriend: Holiday Star,PC,7.53,9.05,6.02
2007,Mega Man 11,PC,8.44,9.05,7.84
2008,Cat Bird!,iOS,8.53,9.05,8.02
2009,Hitman: Absolution,PS3,8.48,9.05,7.91
2010,Combo Quest 2,iOS,8.5,9.05,7.96
2011,Borderlands: The Pre-Sequel,PS3,8.32,9.04,7.6
2012,OCO,iOS,8.44,9.04,7.83
2013,SUPERHOT VR,PS4,8.18,9.04,7.32
2014,Children of Morta,Switch,8.44,9.04,7.84
2015,The Elder Scrolls V: Skyrim VR,PS4,8.36,9.04,7.68
2016,The Forest,PS4,8.43,9.04,7.82
2017,Move or Die,PS4,8.39,9.04,7.73
2018,RGB Express - Mini Truck Puzzle,iOS,8.52,9.04,7.99
2019,Unepic,PS4,8.12,9.04,7.21
2020,To the Moon,iOS,8.31,9.04,7.58
2021,Flat Heroes,PC,8.54,9.04,8.04
2022,Kalimba,PC,8.26,9.04,7.48
2023,Little Inferno,iOS,8.51,9.04,7.98
2024,Transformers Bumblebee,iOS,8.31,9.04,7.58
2025,SUPERHOT VR,PC,8.75,9.04,8.46
2026,Audica,PS4,8.06,9.04,7.08
2027,Snowboard Party,iOS,8.2,9.04,7.37
2028,Looney Tunes™ World of Mayhem,iOS,8.04,9.04,7.05
2029,dEXTRIS,iOS,8.38,9.04,7.72
2030,Layers of Fear,PC,8.18,9.04,7.31
2031,Hill Climb Racing 2,iOS,8.47,9.04,7.91
2032,Dungeons 3,Xbox One,7.96,9.04,6.88
2033,Resident Evil 6,PS4,7.64,9.04,6.24
2034,Headmaster,PS4,8.18,9.04,7.31
2035,Awesomenauts Assemble!,PS4,8.19,9.04,7.34
2036,Cthulhu Saves the World,PC,8.32,9.04,7.59
2037,EA SPORTS FIFA 20 Nintendo Switch Legacy Edition,Switch,7.8,9.04,6.57
2038,Thief II: The Metal Age,PC,8.62,9.04,8.19
2039,Lara Croft and the Guardian of Light,PS3,8.7,9.04,8.36
2040,Old School Musical,PC,8.04,9.04,7.04
2041,A Good Snowman Is Hard To Build,iOS,8.83,9.04,8.61
2042,Crimsonland,PC,8.19,9.04,7.35
2043,Red Matter,PS4,8.42,9.04,7.79
2044,BlazBlue: Chrono Phantasma,PS Vita,8.53,9.04,8.03
2045,Jamestown+,PS4,8.22,9.04,7.39
2046,The Almost Gone,iOS,8.26,9.04,7.48
2047,SteamWorld Heist,iOS,8.87,9.04,8.7
2048,Steins;Gate Elite,PS4,8.71,9.04,8.39
2049,Red Faction: Guerrilla Re-Mars-tered,PS4,8.02,9.04,7.0
2050,Pocket City,iOS,8.64,9.04,8.25
2051,Shadow Bug,iOS,8.53,9.04,8.02
2052,Prototype 2,PS3,8.26,9.04,7.49
2053,Pixel Ripped 1989,PS4,8.32,9.04,7.6
2054,Five Nights at Freddy's 2,iOS,8.5,9.04,7.96
2055,Roundabout,PC,8.04,9.04,7.04
2056,One Piece: Pirate Warriors 4,Switch,8.12,9.03,7.21
2057,SteamWorld Dig,PS Vita,8.38,9.03,7.72
2058,A Hollow Doorway,iOS,8.43,9.03,7.83
2059,Legend of Grimrock 2,PC,8.73,9.03,8.42
2060,Odallus: The Dark Call,PC,8.33,9.03,7.63
2061,Madden NFL Mobile,iOS,8.21,9.03,7.39
2062,Lightmatter,PC,8.35,9.03,7.67
2063,The Evil Within 2,Xbox One,8.42,9.03,7.8
2064,Just Dance 2018,PS4,8.08,9.03,7.14
2065,Bean Dreams,iOS,8.75,9.03,8.47
2066,Block Fortress,iOS,8.7,9.03,8.37
2067,Drop Flip,iOS,8.31,9.03,7.58
2068,Dragon Ball Xenoverse,PS4,8.01,9.03,6.98
2069,Hammer Bomb,iOS,8.63,9.03,8.22
2070,PAC-MAN 256 - Endless Arcade Maze,iOS,8.72,9.03,8.41
2071,The LEGO Ninjago Movie Video Game,Switch,7.98,9.03,6.94
2072,Nuclear Throne,PS4,8.62,9.03,8.21
2073,Tom Clancy's Splinter Cell: Chaos Theory,PC,8.69,9.03,8.34
2074,Melty Blood Actress Again Current Code,PC,8.2,9.03,7.38
2075,South Park: The Fractured But Whole,PS4,8.61,9.03,8.18
2076,Shank 2,PS3,8.25,9.03,7.47
2077,Sonic Forces,iOS,8.24,9.03,7.46
2078,Werewolves Within,PS4,8.27,9.03,7.52
2079,Detention,PS4,8.41,9.03,7.8
2080,ZENONIA 4,iOS,8.33,9.03,7.64
2081,Salt and Sanctuary,PS Vita,8.47,9.03,7.9
2082,Dead Island Definitive Edition,PS4,7.89,9.03,6.76
2083,ToeJam & Earl: Back in the Groove,PS4,7.89,9.03,6.76
2084,Resident Evil HD Remaster,Xbox One,8.56,9.03,8.1
2085,Dustforce,PC,8.37,9.03,7.71
2086,Starward Rogue,PC,8.41,9.03,7.79
2087,AI: The Somnium Files,PS4,8.36,9.03,7.69
2088,Afterpulse - Elite Army,iOS,8.33,9.03,7.64
2089,Dead Nation,PS3,8.3,9.03,7.57
2090,NBA 2K19,Xbox One,8.63,9.03,8.23
2091,LocoRoco 2 Remastered,PS4,8.4,9.03,7.78
2092,Full Throttle Remastered,PC,8.49,9.03,7.96
2093,Just Dance 2018,Switch,8.09,9.03,7.16
2094,Ferris Mueller's Day Off,iOS,7.95,9.03,6.87
2095,Asgard’s Wrath,PC,8.73,9.03,8.44
2096,Max Payne 2: The Fall of Max Payne,PC,8.61,9.03,8.19
2097,Spin Addict,iOS,8.25,9.03,7.48
2098,Bik - A Space Adventure,iOS,8.37,9.03,7.7
2099,Ice Age Adventures,iOS,8.35,9.03,7.67
2100,Eliza,PC,8.44,9.03,7.86
2101,11-11: MEMORIES RETOLD,PC,8.31,9.03,7.59
2102,Rival Stars Basketball,iOS,8.05,9.02,7.08
2103,Samurai Warriors 4-II,PS4,8.03,9.02,7.04
2104,Kritika: The White Knights,iOS,8.3,9.02,7.58
2105,The Sexy Brutale,PS4,8.57,9.02,8.11
2106,Alien: Isolation,PS4,8.51,9.02,7.99
2107,Forest Home,iOS,7.93,9.02,6.83
2108,Deracine,PS4,7.85,9.02,6.67
2109,Guilty Gear Xrd Rev 2,PS3,8.44,9.02,7.86
2110,Helldivers,PS4,8.53,9.02,8.04
2111,Alto's Adventure,iOS,9.0,9.02,8.98
2112,Death Come True,iOS,8.33,9.02,7.63
2113,Rise of the Tomb Raider,Xbox One,8.78,9.02,8.54
2114,Questy Quest,iOS,8.21,9.02,7.41
2115,Angry Birds Match,iOS,7.93,9.02,6.83
2116,Shantae: Risky's Revenge - Director's Cut,PS4,8.18,9.02,7.34
2117,Patapon 2 Remastered,PS4,8.24,9.02,7.46
2118,Gorogoa,iOS,8.86,9.02,8.7
2119,INMOST,iOS,8.45,9.02,7.87
2120,SUP Multiplayer Racing,iOS,8.05,9.02,7.08
2121,Dust: An Elysian Tail,PS4,8.33,9.02,7.64
2122,Disgaea D2: A Brighter Darkness,PS3,8.32,9.02,7.63
2123,Inotia 4,iOS,8.29,9.02,7.55
2124,Block Fortress: War,iOS,8.1,9.02,7.19
2125,Hell is Other Demons,PC,8.38,9.02,7.75
2126,Five Nights at Freddy's 2,PC,8.24,9.02,7.46
2127,Project Warlock,PS4,8.22,9.02,7.42
2128,Real Boxing 2 ROCKY: KO Fight,iOS,8.26,9.02,7.5
2129,Game of Thrones Beyond the Wall,iOS,7.82,9.02,6.62
2130,Monster Hunter Generations Ultimate,Switch,8.49,9.02,7.96
2131,Tales of Wind,iOS,8.3,9.02,7.58
2132,Castlestorm,PS Vita,8.4,9.02,7.79
2133,Tropical Wars - Pirate Battles,iOS,8.14,9.02,7.27
2134,Grand Theft Auto: San Andreas,iOS,8.93,9.02,8.85
2135,Creaks,PC,8.52,9.02,8.03
2136,Zombie Anarchy: War & Survival,iOS,7.89,9.02,6.76
2137,Piece Out,iOS,8.36,9.02,7.71
2138,FRAG Pro Shooter,iOS,8.5,9.02,7.99
2139,Othercide,PS4,8.24,9.02,7.46
2140,Oddworld: Stranger's Wrath HD,PS Vita,8.35,9.02,7.69
2141,Lara Croft and the Guardian of Light,PC,8.63,9.02,8.24
2142,Vampyr,Switch,8.05,9.02,7.09
2143,FlatOut,PC,8.02,9.02,7.02
2144,God of War III,PS3,9.09,9.02,9.16
2145,Captain Toad: Treasure Tracker,3DS,8.5,9.02,7.98
2146,The Escapists 2,PS4,8.23,9.01,7.45
2147,The LEGO Movie 2 Videogame,Xbox One,7.87,9.01,6.73
2148,Paper Beast,PC,8.2,9.01,7.39
2149,428: Shibuya Scramble,PC,8.53,9.01,8.04
2150,Farming Simulator 2013,PS3,7.41,9.01,5.8
2151,Miss Fisher and the Deathly Maze - Ep. 1,iOS,8.49,9.01,7.97
2152,Mutant Football League,PS4,7.87,9.01,6.73
2153,Plants vs. Zombies: Garden Warfare,PS4,8.51,9.01,8.0
2154,Harry Potter: Wizards Unite,iOS,7.93,9.01,6.84
2155,Riptide GP: Renegade,iOS,8.64,9.01,8.27
2156,What Remains of Edith Finch,PS4,8.93,9.01,8.84
2157,Rocketbirds: Hardboiled Chicken,PS Vita,8.25,9.01,7.48
2158,TALES OF CRESTORIA,iOS,7.42,9.01,5.83
2159,Shantae: Half-Genie Hero,PS Vita,8.47,9.01,7.93
2160,Chicken Wiggle,3DS,8.17,9.01,7.33
2161,Blitz Brigade,iOS,8.03,9.01,7.05
2162,Ghost Giant,PS4,8.45,9.01,7.89
2163,Velocity Ultra,PS Vita,8.68,9.01,8.34
2164,Star Realms,iOS,8.53,9.01,8.05
2165,The Awesome Adventures of Captain Spirit,PS4,8.29,9.01,7.58
2166,SOMA,PS4,8.43,9.01,7.85
2167,Dead Age,iOS,7.84,9.01,6.67
2168,Concrete Genie,PS4,8.25,9.01,7.49
2169,Shakedown Hawaii,PS4,8.36,9.01,7.7
2170,Far Cry 4,PS4,8.64,9.01,8.27
2171,Dash Quest,iOS,8.33,9.01,7.65
2172,Dragon Ball Z: Battle of Z,PS Vita,7.75,9.01,6.49
2173,Deadpool,PS4,7.68,9.01,6.34
2174,Tom Clancy's Ghost Recon: Future Soldier,PS3,8.43,9.01,7.84
2175,Cars 3: Driven to Win,PS3,8.19,9.01,7.38
2176,MARVEL Strike Force,iOS,8.48,9.01,7.96
2177,Röki,PC,8.42,9.01,7.83
2178,The Banner Saga 3,PS4,8.55,9.01,8.1
2179,King of Crabs,iOS,7.94,9.01,6.88
2180,Near Death,PC,8.11,9.01,7.21
2181,Pillars of Eternity: Complete Edition,PS4,8.64,9.01,8.27
2182,Five Nights at Freddy's 4,iOS,8.22,9.01,7.44
2183,Another Lost Phone: Laura's Story,PC,8.06,9.01,7.11
2184,Tales of Vesperia: Definitive Edition,Xbox One,8.5,9.01,7.99
2185,Thomas Was Alone,PS Vita,8.16,9.01,7.32
2186,Puzzle to the Center of the Earth,iOS,8.61,9.01,8.22
2187,Cities: Skylines - PlayStation 4 Edition,PS4,8.47,9.01,7.94
2188,Evil Hunter Tycoon - Nonstop,iOS,8.32,9.01,7.63
2189,Tokyo Xanadu eX+,PS4,8.12,9.01,7.24
2190,Two Point Hospital,PS4,8.53,9.0,8.05
2191,OVERHIT,iOS,8.29,9.0,7.58
2192,WWE 2K14,PS3,8.27,9.0,7.53
2193,Spirit of the North,PS4,7.64,9.0,6.28
2194,FORM,PC,8.32,9.0,7.64
2195,JumpJet Rex,PC,8.15,9.0,7.29
2196,Tales of Vesperia: Definitive Edition,Switch,8.64,9.0,8.27
2197,Match Land,iOS,8.17,9.0,7.33
2198,Titanfall 2,Xbox One,8.78,9.0,8.55
2199,Guacamelee! 2,PC,8.63,9.0,8.26
2200,Minecraft: Xbox 360 Edition,Xbox 360,8.53,9.0,8.05
2201,LUNA The Shadow Dust,PC,8.15,9.0,7.29
2202,Dragon Land,iOS,8.19,9.0,7.39
2203,Red Dead Redemption,Xbox 360,9.08,9.0,9.15
2204,Final Fantasy XIV: A Realm Reborn,PS4,8.71,9.0,8.41
2205,Fate/EXTELLA LINK,PS4,8.27,9.0,7.54
2206,LEGO Marvel Super Heroes,Xbox 360,8.5,9.0,8.01
2207,Five Nights at Freddy's,iOS,8.6,9.0,8.2
2208,Ultimate Chicken Horse,PS4,8.12,9.0,7.23
2209,Blue Estate,PC,7.5,9.0,5.99
2210,Tormentor X Punisher,PC,8.55,9.0,8.09
2211,FarmVille 2: Country Escape,iOS,8.06,9.0,7.12
2212,PlayStation All-Stars Battle Royale,PS3,8.31,9.0,7.62
2213,Pocket Frogs,iOS,8.53,9.0,8.07
2214,BlazBlue: Chrono Phantasma EXTEND,PS Vita,8.47,9.0,7.94
2215,Untold RPG,iOS,8.39,9.0,7.78
2216,Portal 2,Xbox 360,9.03,9.0,9.07
2217,Godus,iOS,7.59,9.0,6.18
2218,Crash of Cars,iOS,8.19,9.0,7.39
2219,Sonic Mania Plus,Switch,8.87,9.0,8.74
2220,Snowboarding The Fourth Phase,iOS,8.14,9.0,7.29
2221,Sherlock Holmes: Crimes and Punishments,PC,8.27,9.0,7.54
2222,MudRunner - American Wilds,Switch,8.19,9.0,7.37
2223,Diamond Digger Saga,Android,8.09,9.0,7.17
2224,Clash of Clans,Android,8.76,9.0,8.52
2225,Call of Duty: Mobile,Android,8.53,9.0,8.06
2226,AdVenture Capitalist,Android,8.07,9.0,7.14
2227,Smash Hit,Android,8.6,9.0,8.2
2228,Monster Legends,Android,7.73,9.0,6.46
2229,Blossom Blast Saga,Android,8.22,9.0,7.44
2230,Boom Beach,Android,8.22,9.0,7.44
2231,Frozen Free Fall,Android,7.89,9.0,6.78
2232,DEAD TRIGGER,Android,8.14,9.0,7.28
2233,Jetpack Joyride,Android,8.72,9.0,8.44
2234,Hungry Shark World,Android,8.3,9.0,7.59
2235,Candy Crush Jelly Saga,Android,8.06,9.0,7.12
2236,Farm Heroes Super Saga,Android,8.14,9.0,7.28
2237,Papa Pear Saga,Android,8.52,9.0,8.03
2238,Asphalt 9: Legends - Epic Car Action Racing Game,Android,8.44,9.0,7.87
2239,Geometry Dash Meltdown,Android,8.23,9.0,7.45
2240,CSR Racing,Android,7.84,9.0,6.69
2241,Dino Hunter: Deadly Shores,Android,8.34,9.0,7.67
2242,Frontline Commando 2,Android,8.37,9.0,7.73
2243,Merge Dragons!,Android,8.2,9.0,7.4
2244,The Walking Dead: Season One,Android,8.59,9.0,8.18
2245,Angry Birds POP Bubble Shooter,Android,8.16,9.0,7.32
2246,Dan The Man,Android,8.55,9.0,8.1
2247,June's Journey - Hidden Objects,Android,8.44,9.0,7.88
2248,Pokémon: Magikarp Jump,Android,7.97,9.0,6.94
2249,Royal Revolt 2: Tower Defense RTS & Castle Builder,Android,7.83,9.0,6.65
2250,Inside Out Thought Bubbles,Android,8.14,9.0,7.28
2251,The Walking Dead No Man's Land,Android,8.46,9.0,7.92
