,Name,Platform,Play Score,Game Score,Critic Score
207,Motorsport Manager Mobile 3,iOS,9.01,9.56,8.47
208,Hyrule Warriors Legends,3DS,8.27,9.56,6.98
209,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PC,8.48,9.56,7.4
210,3D Shinobi III: Return of the Ninja Master,3DS,8.78,9.56,8.0
211,AVICII Invector,PC,8.59,9.56,7.62
212,One Finger Death Punch 2,PC,8.79,9.56,8.03
213,The Room VR: A Dark Matter,PC,8.59,9.56,7.61
214,Cat Quest,PC,8.55,9.56,7.53
215,Bullet Hell Monday,iOS,8.95,9.56,8.33
216,Layton: Curious Village in HD,Android,8.23,9.56,6.91
217,Trials of Mana,PS4,8.6,9.56,7.64
218,Pikuniku,PC,8.63,9.56,7.71
219,Mini Metro,PC,8.68,9.56,7.81
220,Desperados III,PC,9.03,9.56,8.5
221,To the Moon,PC,8.75,9.56,7.94
222,YO-KAI WATCH,3DS,8.62,9.56,7.69
223,Brigador,PC,8.42,9.55,7.29
224,Devil Daggers,PC,8.68,9.55,7.8
225,Outlast,PC,8.68,9.55,7.81
226,YO-KAI WATCH 2: Fleshy Souls,3DS,8.36,9.55,7.17
227,Luigi's Mansion 3,Switch,9.06,9.55,8.56
228,"Papers, Please",PC,8.83,9.55,8.12
229,Wandersong,PC,8.7,9.55,7.85
230,Fran Bow,PC,8.26,9.55,6.97
231,Animal Crossing: New Horizons,Switch,9.26,9.55,8.96
232,Through the Ages,iOS,8.94,9.55,8.33
233,Guilty Gear Xrd -REVELATOR-,PS3,8.71,9.55,7.88
234,NieR Automata - Game of the YoRHa Edition,PS4,8.89,9.55,8.24
235,Devil May Cry 4: Special Edition,PS4,8.6,9.55,7.65
236,Sid Meier's Civilization V,PC,9.13,9.55,8.72
237,Far Cry 3: Classic Edition,PS4,8.37,9.54,7.19
238,Fantasy Life,3DS,8.63,9.54,7.71
239,Night in the Woods,PS4,9.05,9.54,8.57
240,Deemo,iOS,8.8,9.54,8.06
241,Theatrhythm Final Fantasy,3DS,8.76,9.54,7.98
242,Xenoblade Chronicles X,Wii U,9.05,9.54,8.56
243,Killing Floor,PC,8.39,9.54,7.23
244,Final Fantasy VII Remake,PS4,9.15,9.54,8.76
245,Moss,PS4,8.97,9.54,8.4
246,3D Gunstar Heroes,3DS,8.81,9.54,8.08
247,Story of Seasons: Friends of Mineral Town,PC,8.59,9.54,7.65
248,Dragon's Crown Pro,PS4,8.79,9.54,8.05
249,Cat Quest II,PC,8.61,9.54,7.69
250,Life Goes On,PC,8.48,9.54,7.42
251,Downwell,PC,8.9,9.54,8.26
252,The Legend of Zelda: Breath of the Wild,Switch,9.55,9.54,9.56
253,Minecraft: PlayStation 3 Edition,PS3,8.87,9.54,8.2
254,DATA WING,iOS,9.01,9.54,8.49
255,The Walking Dead: Season One,PC,8.64,9.53,7.75
256,3D Out Run,3DS,8.87,9.53,8.21
257,Azure Striker Gunvolt 2,3DS,8.57,9.53,7.6
258,Hyper Light Drifter,iOS,8.94,9.53,8.34
259,Paradigm,PC,8.78,9.53,8.03
260,Forza Motorsport 7,PC,8.85,9.53,8.17
261,Linelight,iOS,9.18,9.53,8.83
262,AMID EVIL,PC,8.87,9.53,8.21
263,Kingdom Rush Frontiers,iOS,8.94,9.53,8.36
264,WORLD OF HORROR,PC,8.64,9.53,7.75
265,Journey,PS4,9.3,9.53,9.07
266,The Wolf Among Us,PS4,8.57,9.53,7.61
267,War Tortoise 2,iOS,8.48,9.53,7.44
268,Persona 4 Golden,PS Vita,9.31,9.53,9.1
269,Crying Suns,Android,8.98,9.53,8.42
270,Hidden Folks,iOS,8.81,9.53,8.09
271,Final Fantasy Crystal Chronicles: Remastered Edition,PS4,8.08,9.52,6.64
272,Shovel Knight: Treasure Trove,PC,9.03,9.52,8.54
273,Shovel Knight,PS Vita,8.91,9.52,8.3
274,ELOH,iOS,9.02,9.52,8.52
275,Star Wars: Empire at War,PC,8.66,9.52,7.81
276,Grimvalor,iOS,8.88,9.52,8.24
277,Poly Bridge 2,PC,7.66,9.52,5.79
278,Langrisser,iOS,8.55,9.52,7.58
279,Blaster Master Zero,3DS,8.37,9.52,7.22
280,Kingdom Rush,iOS,9.11,9.52,8.69
281,Mini Metro,iOS,9.03,9.52,8.54
282,Streets of Rage 4,PS4,8.92,9.52,8.32
283,Mark of the Ninja,PC,9.04,9.52,8.57
284,Resident Evil HD Remaster,PS4,8.78,9.52,8.04
285,Shin Megami Tensei IV,3DS,8.9,9.52,8.28
286,Pac-Man Championship Edition DX +,PC,8.97,9.52,8.42
287,Legends of Runeterra,iOS,8.9,9.52,8.28
288,Blendoku,iOS,8.5,9.51,7.48
289,Hatsune Miku: Project Diva F,PS3,8.32,9.51,7.12
290,Don't Starve: Mega Pack,PS4,8.59,9.51,7.68
291,New Super Mario Bros. U Deluxe,Switch,8.72,9.51,7.93
292,One Piece: Pirate Warriors 2,PS3,8.41,9.51,7.31
293,Friday the 13th: Killer Puzzle,iOS,8.8,9.51,8.08
294,10000000,iOS,8.74,9.51,7.97
295,Plants vs. Zombies,PC,8.94,9.51,8.36
296,Aggretsuko,iOS,8.08,9.51,6.65
297,Valiant Hearts: The Great War,PS3,8.78,9.51,8.06
298,Guacamelee!,PS Vita,8.95,9.51,8.39
299,In Death: Unchained,PC,8.32,9.51,7.14
300,Drag'n'Boom,iOS,8.47,9.5,7.44
301,Sky: Children of the Light,iOS,8.83,9.5,8.16
302,SIMULACRA,iOS,8.78,9.5,8.07
303,Zero Escape: Virtue's Last Reward,3DS,8.97,9.5,8.43
304,A Hat in Time,PS4,8.58,9.5,7.65
305,Yoku's Island Express,PC,8.78,9.5,8.06
306,Axiom Verge,PS Vita,8.97,9.5,8.44
307,FROST,iOS,9.0,9.5,8.51
308,SENRAN KAGURA Burst,3DS,8.1,9.5,6.7
309,Super Cat Tales,iOS,8.94,9.5,8.39
310,The Legend of Zelda: Link's Awakening,Switch,9.05,9.5,8.61
311,Divinity: Original Sin II,PC,9.37,9.5,9.24
312,The Walking Dead: Saints & Sinners,PS4,8.77,9.5,8.05
313,American Truck Simulator,PC,8.61,9.5,7.73
314,Shantae: Half-Genie Hero,Wii U,8.62,9.49,7.75
315,Tales From The Borderlands,PC,8.76,9.49,8.02
316,Undertale,PS4,9.26,9.49,9.03
317,BattleBlock Theater,Xbox 360,8.94,9.49,8.39
318,The Legend of Heroes: Trails in the Sky SC,PC,8.55,9.49,7.61
319,Divinity: Original Sin II - Definitive Edition,PC,9.06,9.49,8.63
320,Resident Evil Zero HD Remaster,PS3,8.29,9.49,7.09
321,Miitopia,3DS,8.05,9.49,6.62
322,Subnautica,PC,8.92,9.49,8.34
323,Helldivers,PS Vita,8.82,9.49,8.15
