Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Play Score,Game Score,Critic Score
Medal of Honor,PS3,2010.0,Shooter,Electronic Arts,1.28,1.04,0.07,0.42,2.81,75.0,56.0,7.5,286.0,"EA DICE, Danger Close",M,7.54,7.9,7.18
Need for Speed: Hot Pursuit,PS3,2010.0,Racing,Electronic Arts,1.05,1.23,0.03,0.47,2.78,89.0,59.0,7.2,301.0,Criterion Games,E10+,8.7,8.78,8.62
Battlefield 3,PC,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78,89.0,61.0,7.5,4926.0,EA DICE,M,8.36,8.2,8.52
Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,83.0,81.0,7.7,836.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,8.81,9.26,8.36
Killzone 3,PS3,2011.0,Shooter,Sony Computer Entertainment,1.45,0.86,0.09,0.38,2.77,84.0,85.0,7.9,942.0,Guerrilla,M,8.42,8.45,8.4
Tekken 6,PS3,2009.0,Fighting,Namco Bandai Games,1.2,0.97,0.17,0.42,2.75,79.0,63.0,7.4,211.0,Namco Bandai Games,T,8.07,8.23,7.92
Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,0.89,1.33,0.08,0.39,2.69,73.0,88.0,6.8,2102.0,Guerrilla,M,7.81,8.21,7.42
Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,1.4,0.04,0.52,2.65,84.0,55.0,6.9,113.0,Slightly Mad Studios,E,7.84,7.9,7.77
Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.73,0.89,0.23,2.63,79.0,53.0,6.6,707.0,Square Enix,T,7.93,8.06,7.8
FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,42.0,7.5,108.0,EA Canada,E,8.06,7.92,8.21
Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.22,0.0,0.23,2.56,83.0,22.0,5.5,101.0,EA Tiburon,E,8.15,8.33,7.96
Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,83.0,22.0,5.5,101.0,EA Tiburon,E,8.15,8.33,7.96
Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,100.0,8.6,6383.0,From Software,M,9.17,9.39,8.94
NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,90.0,26.0,8,99.0,Visual Concepts,E,8.73,8.93,8.53
Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,1.04,0.18,0.38,2.47,82.0,50.0,7.7,384.0,Volition Inc.,M,8.52,9.18,7.86
Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.15,0.84,0.1,0.38,2.46,87.0,79.0,6.1,1889.0,Insomniac Games,M,8.23,8.09,8.37
NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,50.0,7,291.0,Visual Concepts,E,8.5,8.73,8.26
Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.45,82.0,50.0,8.2,100.0,Rockstar San Diego,T,8.11,8.27,7.96
Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,0.15,0.0,0.2,2.38,83.0,36.0,6.1,68.0,EA Tiburon,E,7.97,7.92,8.01
Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,96.0,81.0,9.1,8665.0,Valve Software,M,9.08,9.64,8.52
Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,85.0,41.0,6.8,58.0,EA Tiburon,E,8.14,8.1,8.18
The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9,478.0,GREZZO,E10+,9.38,9.7,9.05
Guild Wars 2,PC,2012.0,Action,NCSoft,0.96,1.07,0.0,0.27,2.31,90.0,69.0,7.9,2954.0,ArenaNet,T,8.54,8.24,8.85
Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,1.12,0.41,0.64,0.14,2.3,75.0,69.0,5.6,382.0,Intelligent Systems,E,8.17,8.7,7.64
Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,46.0,7.7,668.0,WB Games Montreal,T,8.23,8.86,7.6
LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,1.02,0.9,0.0,0.36,2.29,80.0,18.0,6.7,87.0,Traveller's Tales,E10+,8.01,8.51,7.51
Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,78.0,42.0,6.7,76.0,Konami,E,7.52,7.35,7.69
Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71.0,41.0,6.6,405.0,Techland,M,7.87,8.33,7.41
Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,79.0,31.0,5.5,56.0,EA Tiburon,E,7.97,8.5,7.45
God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,89.0,7.5,914.0,SCE Santa Monica,M,8.36,8.76,7.96
