Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Play Score,Game Score,Critic Score
Brutal Legend,PS3,2009.0,Action,Electronic Arts,0.54,0.27,0.0,0.13,0.94,83.0,61.0,7.6,162.0,Double Fine Productions,M,7.87,7.8,7.93
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,CyberConnect2,T,8.46,9.28,7.65
EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,EA Sports,T,7.99,8.15,7.82
White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,Level 5,T,7.11,7.49,6.72
Kirby: Planet Robobot,3DS,2016.0,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,HAL Labs,E,8.86,9.64,8.09
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,76.0,48.0,8,70.0,Gearbox Software,M,7.87,8.19,7.55
The LEGO Movie Videogame,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,TT Games,E10+,8.07,8.85,7.29
Assassin's Creed III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,Ubisoft,M,7.74,7.41,8.07
Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,Gearbox Software,M,9.05,9.48,8.62
Disney Magical World,3DS,2013.0,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,27.0,7.5,21.0,h.a.n.d. Inc.,E,7.84,8.77,6.91
MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,SCEA San Diego Studios,E,8.43,8.97,7.9
South Park: The Stick of Truth,PS3,2014.0,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,31.0,8.5,575.0,Obsidian Entertainment,M,8.78,9.19,8.38
MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,87.0,23.0,7.5,75.0,SCEA San Diego Studios,E,8.53,8.68,8.39
Dynasty Warriors 7,PS3,2011.0,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,25.0,7.4,57.0,Omega Force,T,7.29,8.16,6.42
SSX,PS3,2012.0,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81.0,38.0,6.8,110.0,EA Canada,E,8.38,8.68,8.09
Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76.0,42.0,6.5,53.0,Codemasters,M,7.35,7.21,7.49
Street Fighter V,PS4,2016.0,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77.0,80.0,3.4,1221.0,Capcom,T,7.99,8.17,7.81
Homefront,PS3,2011.0,Shooter,THQ,0.32,0.39,0.04,0.15,0.9,70.0,60.0,5.7,174.0,Kaos Studios,M,7.1,7.43,6.76
LEGO Jurassic World,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,46.0,7,80.0,TT Games,E10+,8.08,8.85,7.31
The Elder Scrolls Online,PC,2014.0,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,64.0,5.7,2421.0,ZeniMax Media,M,7.5,8.07,6.92
Madden NFL 25,PS4,2013.0,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.9,74.0,13.0,5.2,118.0,EA Sports,E,7.9,8.47,7.32
DJ Hero,PS3,2009.0,Misc,Activision,0.42,0.34,0.0,0.14,0.9,86.0,53.0,7.8,49.0,FreeStyleGames,T,8.05,7.76,8.34
SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,64.0,6.3,121.0,Zipper Interactive,M,7.26,7.91,6.61
Pure,PS3,2008.0,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89,83.0,43.0,7.8,30.0,Black Rock Studio,E,8.24,8.58,7.9
Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,Electronic Arts,0.52,0.25,0.0,0.11,0.89,80.0,41.0,7.3,17.0,Electronic Arts,E,7.96,8.05,7.87
NCAA Football 13,PS3,2012.0,Action,Electronic Arts,0.82,0.0,0.0,0.07,0.89,79.0,9.0,4.1,34.0,EA Tiburon,E,8.1,8.69,7.5
The Simpsons Game,PS3,2007.0,Action,Electronic Arts,0.38,0.36,0.0,0.15,0.88,71.0,30.0,7.5,49.0,EA Redwood Shores,T,7.52,7.83,7.2
Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,Infinity Ward,M,8.59,8.74,8.44
The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,37.0,8.1,60.0,Crystal Dynamics,T,8.2,8.84,7.56
Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,47.0,7.8,91.0,Techland,M,8.09,8.35,7.82
Resident Evil: Revelations,3DS,2012.0,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,397.0,Capcom,M,8.83,9.69,7.97
Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,40.0,6.6,2299.0,Rockstar Toronto,M,7.93,6.86,8.99
LittleBigPlanet Karting,PS3,2012.0,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73.0,69.0,6.9,159.0,"Media Molecule, United Front Games",E,8.08,8.91,7.26
Crysis 3,PS3,2013.0,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,23.0,6.3,288.0,Crytek,M,8.35,9.12,7.57
Mercenaries 2: World in Flames,PS3,2008.0,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,43.0,7.1,73.0,Pandemic Studios,T,7.19,7.55,6.83
Guitar Hero Live,PS4,2015.0,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,69.0,6.2,160.0,FreeStyleGames,T,7.83,7.7,7.96
Kingdoms of Amalur: Reckoning,PS3,2012.0,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81.0,34.0,7.6,376.0,Big Huge Games,M,8.48,9.07,7.88
Dragon Ball Z: Burst Limit,PS3,2008.0,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71.0,32.0,7.2,51.0,"Dimps Corporation, Namco Bandai Games",T,6.91,6.77,7.05
Tekken Tag Tournament 2,PS3,2012.0,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,50.0,8.2,193.0,Namco Bandai Games,T,8.47,8.7,8.25
Ninja Gaiden Sigma 2,PS3,2009.0,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83.0,52.0,7.7,115.0,Team Ninja,M,8.41,8.58,8.24
NCAA Football 11,PS3,2010.0,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.85,85.0,22.0,7.4,25.0,EA Tiburon,E,8.25,8.31,8.19
Army of Two: The 40th Day,PS3,2010.0,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74.0,56.0,7,88.0,EA Montreal,M,7.52,7.81,7.24
Darksiders II,PS3,2012.0,Action,THQ,0.35,0.35,0.01,0.14,0.84,84.0,39.0,7.1,422.0,Vigil Games,M,8.38,8.49,8.27
Ghostbusters: The Video Game,PS3,2009.0,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84,78.0,74.0,7.9,96.0,Terminal Reality,T,7.87,8.16,7.57
NBA 2K10,PS3,2009.0,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83.0,30.0,7.8,39.0,Visual Concepts,E,8.04,8.2,7.89
Skate 2,PS3,2009.0,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84.0,50.0,7.8,53.0,EA Black Box,T,8.1,8.29,7.91
NCAA Football 14,PS3,2013.0,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,9.0,6.2,40.0,EA Tiburon,E,8.2,8.98,7.43
Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,Nex Entertainment,T,6.82,7.32,6.32
NCAA Football 12,PS3,2011.0,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,82.0,17.0,5.8,41.0,EA Sports,E,8.16,8.41,7.92
Street Fighter X Tekken,PS3,2012.0,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84.0,51.0,5.3,191.0,Capcom,T,8.03,7.97,8.08
Tales of the Abyss,3DS,2011.0,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83,75.0,33.0,7.6,197.0,Bandai Namco Games,T,8.01,8.76,7.26
Dragon Age II,PS3,2011.0,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82.0,52.0,4.3,1197.0,BioWare,M,8.02,8.4,7.63
NCAA Football 10,PS3,2009.0,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81,80.0,20.0,6.9,14.0,EA Tiburon,E,8.13,8.2,8.07
Guitar Hero: Warriors of Rock,PS3,2010.0,Misc,Activision,0.33,0.34,0.0,0.13,0.81,74.0,46.0,7.1,30.0,Neversoft Entertainment,T,7.78,8.21,7.35
DmC: Devil May Cry,PS3,2013.0,Action,Capcom,0.24,0.26,0.19,0.1,0.79,85.0,40.0,5.3,1471.0,Ninja Theory,M,8.45,8.81,8.1
Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,54.0,7.1,680.0,Konami,E,8.18,7.99,8.37
Sniper: Ghost Warrior,PS3,2011.0,Shooter,City Interactive,0.27,0.34,0.04,0.13,0.79,53.0,17.0,6,34.0,City Interactive,M,6.85,7.73,5.97
WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,5.0,3.1,57.0,Yuke's,T,7.29,8.52,6.07
Tiger Woods PGA Tour 10,PS3,2009.0,Sports,Electronic Arts,0.42,0.25,0.0,0.11,0.78,81.0,38.0,7.7,9.0,EA Tiburon,E,7.99,8.14,7.84
Sid Meier's Civilization Revolution,PS3,2008.0,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.09,0.78,85.0,39.0,7.7,87.0,Firaxis Games,E10+,8.08,8.15,8.01
Dragon Ball: Raging Blast,PS3,2009.0,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77,57.0,26.0,7.2,58.0,Spike,T,7.08,7.69,6.46
The Sims 3,3DS,2011.0,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,52.0,29.0,3.3,31.0,EA Games,T,6.7,7.76,5.64
Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,95.0,52.0,8.8,5999.0,Valve Software,E10+,9.5,9.77,9.23
Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.76,51.0,48.0,4.9,278.0,"Gearbox Software, 3D Realms",M,6.27,7.07,5.48
Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,Nintendo,0.0,0.48,0.25,0.03,0.75,81.0,58.0,7.9,86.0,Level 5,E10+,8.74,9.49,7.98
Titanfall 2,PS4,2016.0,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89.0,56.0,8.4,704.0,Respawn Entertainment,M,8.89,9.12,8.66
Genji: Days of the Blade,PS3,2006.0,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75,55.0,46.0,5.8,30.0,Game Republic,T,6.28,6.45,6.11
DJ Hero 2,PS3,2010.0,Misc,Activision,0.47,0.19,0.0,0.1,0.75,86.0,46.0,7.8,22.0,FreeStyleGames,T,8.12,8.0,8.25
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0.0,0.06,0.75,72.0,6.0,5.2,25.0,TT Games,E10+,7.96,8.78,7.13
SoulCalibur V,PS3,2012.0,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,0.75,81.0,53.0,6.7,150.0,Project Soul,T,7.88,7.84,7.91
Pro Evolution Soccer 2015,PS4,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82.0,56.0,7.2,386.0,Konami,E,8.03,8.08,7.99
The Lord of the Rings: Conquest,PS3,2009.0,Action,Electronic Arts,0.38,0.25,0.0,0.11,0.74,54.0,45.0,7.1,57.0,Pandemic Studios,T,6.97,7.38,6.55
Band Hero,PS3,2009.0,Misc,Activision,0.41,0.23,0.0,0.11,0.74,76.0,45.0,5.7,9.0,Neversoft Entertainment,E10+,7.23,7.15,7.32
The Godfather II,PS3,2009.0,Action,Electronic Arts,0.41,0.21,0.01,0.1,0.74,67.0,53.0,7.2,50.0,EA Redwood Shores,M,7.34,7.68,7.0
Assassin's Creed: Revelations,PC,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,80.0,20.0,7.4,771.0,Ubisoft Montreal,M,8.22,8.32,8.11
Resident Evil: Revelations,PS3,2013.0,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,30.0,7.2,204.0,Capcom,M,8.21,8.89,7.52
Red Faction: Guerrilla,PS3,2009.0,Shooter,THQ,0.33,0.27,0.02,0.12,0.74,85.0,56.0,8.1,136.0,Volition Inc.,M,8.42,8.7,8.14
Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0,Project Aces,T,7.67,8.04,7.3
Crysis 2,PC,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86.0,42.0,6.8,1594.0,Crytek,M,8.2,8.19,8.21
MLB 13: The Show,PS3,2013.0,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,36.0,7.8,114.0,SCEA San Diego Studios,E,8.79,9.17,8.41
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,Activision,0.49,0.15,0.0,0.09,0.73,74.0,48.0,7.3,51.0,Vicarious Visions,T,7.69,7.84,7.54
Dragon Age: Inquisition,PC,2014.0,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,45.0,5.9,3926.0,BioWare,M,7.92,7.42,8.42
Resonance of Fate,PS3,2010.0,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72.0,42.0,8,136.0,Tri-Ace,T,7.78,8.06,7.5
Brink,PS3,2011.0,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72.0,39.0,5.8,168.0,Splash Damage,T,7.13,7.07,7.18
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74.0,23.0,7.1,83.0,"CyberConnect2, Racjin",T,7.8,7.99,7.61
Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,71.0,4.2,3742.0,Creative Assembly,T,8.0,8.15,7.85
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74.0,45.0,6.7,155.0,"Square Enix, Tri-Ace",T,8.17,8.68,7.66
Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,56.0,8.1,169.0,Atlus,M,8.81,9.35,8.26
MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,17.0,7.7,205.0,SCEA San Diego Studios,E,8.46,8.77,8.15
MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,90.0,27.0,8.1,61.0,SCEA San Diego Studios,E,8.34,8.24,8.45
The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,32.0,9.3,10665.0,CD Projekt Red Studio,M,9.4,9.79,9.01
MLB 10: The Show,PS3,2010.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,91.0,33.0,8.3,107.0,SCEA,E,8.33,8.23,8.43
Blur,PS3,2010.0,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81.0,58.0,8.2,86.0,Bizarre Creations,E10+,7.8,7.64,7.97
Battlefield: Bad Company 2,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,46.0,8.3,1467.0,EA DICE,M,8.48,8.47,8.48
XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71,89.0,57.0,8.2,2235.0,Firaxis Games,M,9.05,9.34,8.76
Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,91.0,56.0,8,1970.0,Crytek,M,8.34,8.18,8.51
Dynasty Warriors 6,PS3,2007.0,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,59.0,31.0,7.3,49.0,"Koei, Omega Force",T,6.99,7.46,6.53
Catherine,PS3,2011.0,Adventure,Deep Silver,0.3,0.14,0.2,0.06,0.7,79.0,61.0,8.1,372.0,Atlus,M,8.41,8.93,7.89
MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,SCEA San Diego Studios,E,7.97,7.75,8.19
James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,Bizarre Creations,T,6.92,7.43,6.42
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,Ubisoft Montreal,T,7.77,8.37,7.17
Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,2K Czech,E,8.39,8.5,8.28
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,Gaijin Entertainment,T,7.87,7.81,7.93
Iron Man,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T,6.45,6.91,5.99
RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T,7.69,7.4,7.98
Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M,8.89,9.12,8.66
The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+,7.88,8.63,7.14
Turok,PS3,2008.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6,39.0,Propaganda Games,M,6.85,6.99,6.72
Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M,8.09,8.04,8.13
Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T,7.28,7.62,6.94
F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E,7.41,8.32,6.49
The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M,7.85,7.83,7.88
Napoleon: Total War,PC,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T,8.62,8.94,8.31
Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,M,7.45,8.05,6.84
Tom Clancy's EndWar,PS3,2008.0,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,T,8.03,8.4,7.66
Fist of the North Star: Ken's Rage,PS3,2010.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",M,6.57,7.61,5.52
One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,T,8.41,9.51,7.31
Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30.0,6.3,26.0,Ubisoft Montreal,T,7.12,7.6,6.63
Farming Simulator 17,PC,2016.0,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,5.0,8,20.0,Giants Software,E,7.99,9.18,6.79
Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10.0,7.7,1470.0,Ubisoft,M,8.51,8.77,8.26
Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,61.0,39.0,6.6,48.0,Ubisoft Casablanca,E,7.13,7.78,6.48
Football Manager 2014,PC,2013.0,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,275.0,Sports Interactive,E,7.69,7.03,8.35
Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,56.0,7.7,569.0,Arkane Studios,M,8.85,9.12,8.58
NHL 13,PS3,2012.0,Sports,Electronic Arts,0.33,0.21,0.0,0.09,0.64,84.0,22.0,6.8,60.0,Electronic Arts,E10+,7.75,7.32,8.18
Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,7.7,109.0,Team Ninja,M,7.92,8.45,7.39
Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.31,0.17,0.07,0.08,0.64,67.0,34.0,7,36.0,Capcom,T,7.14,7.39,6.9
Dragon Age II,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.08,0.63,82.0,45.0,4.5,4533.0,BioWare,M,7.23,6.68,7.79
Far Cry 4,PC,2014.0,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,17.0,6.7,1064.0,Ubisoft Montreal,M,8.08,7.98,8.19
Wolfenstein,PS3,2009.0,Shooter,Activision,0.25,0.27,0.0,0.11,0.63,71.0,58.0,7.4,77.0,"id Software, Raven Software",M,7.33,7.87,6.8
Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,47.0,6.5,1223.0,Crytek,M,7.98,8.31,7.66
NHL 16,PS4,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,28.0,5.5,157.0,"EA Sports, EA Canada",E10+,8.16,8.39,7.92
Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.33,0.2,0.0,0.09,0.62,75.0,5.0,6,7.0,Ubisoft,E10+,7.99,8.65,7.33
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.29,0.27,0.0,0.06,0.62,71.0,16.0,7.3,20.0,Traveller's Tales,E10+,7.75,8.78,6.72
Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.28,0.24,0.0,0.1,0.62,86.0,44.0,8,48.0,Neversoft Entertainment,T,8.21,8.27,8.14
Warriors Orochi 3,PS3,2011.0,Action,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62,70.0,17.0,7.9,35.0,Omega Force,T,8.44,9.47,7.42
2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E,7.82,8.44,7.21
NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,30.0,7,37.0,Visual Concepts,E,8.28,8.42,8.14
Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55.0,Artificial Mind and Movement,M,6.86,6.93,6.79
Plants vs. Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259.0,PopCap,E10+,8.51,9.01,8.0
Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software,E10+,7.65,8.66,6.63
Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames,M,8.48,8.8,8.16
Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia,M,8.32,9.04,7.6
Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,7.24,7.3,7.19
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike,T,6.96,7.03,6.89
Yakuza: Dead Souls,PS3,2011.0,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios,M,7.38,8.16,6.59
Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland,M,7.47,8.57,6.37
Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force,T,7.98,8.81,7.14
LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0,TT Games,E10+,7.98,8.84,7.12
WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T,7.67,8.48,6.86
NHL 15,PS4,2014.0,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports,E10+,6.82,7.51,6.12
Total War: Shogun 2,PC,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly,T,8.89,8.95,8.83
Dead Space,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8,1093.0,EA Redwood Shores,M,8.57,8.84,8.3
