Name,Platform,Play Score,Game Score,Critic Score
Ori and the Blind Forest: Definitive Edition,PC,8.95,9.59,8.32
Xenoblade Chronicles 3D,3DS,9.07,9.59,8.55
Streets of Rogue,PC,8.56,9.59,7.53
Monster Hunter 4 Ultimate,3DS,9.07,9.59,8.56
The Last Of Us Remastered,PS4,9.41,9.59,9.23
Part Time UFO,Android,8.91,9.59,8.23
Supraland,PC,8.83,9.58,8.08
Game Dev Tycoon,iOS,9.00,9.58,8.42
Beat Saber,PS4,8.96,9.58,8.34
NEKOPARA Vol. 1,PC,8.20,9.58,6.82
Linelight,PC,8.69,9.58,7.79
My Friend Pedro,PC,8.62,9.58,7.65
Templar Battleforce RPG,Android,8.98,9.58,8.39
OKAMI HD,PS4,9.07,9.58,8.57
Rune Factory 4,3DS,8.73,9.58,7.88
Monument Valley,Android,9.11,9.58,8.65
Uncharted 4: A Thief's End,PS4,9.43,9.58,9.28
Persona 5,PS3,9.27,9.58,8.97
The Room Two,iOS,9.04,9.58,8.51
Return of the Obra Dinn,PC,9.20,9.57,8.82
Detention,PC,8.89,9.57,8.20
Ring Fit Adventure,Switch,8.81,9.57,8.04
Don't Starve,PC,8.66,9.57,7.74
see/saw,iOS,8.83,9.57,8.08
Primordia,PC,8.72,9.57,7.88
Danganronpa 2: Goodbye Despair,PC,8.37,9.57,7.18
Crypt of the NecroDancer,PC,9.05,9.57,8.52
Nuclear Throne,PC,9.05,9.57,8.53
YO-KAI WATCH 2: Bony Spirits,3DS,8.37,9.57,7.18
Shovel Knight,PS4,9.09,9.57,8.62
killer7,PC,8.46,9.57,7.36
Yakuza 5 Remaster,PS4,8.70,9.57,7.83
Undertale,PC,9.35,9.57,9.13
Part Time UFO,iOS,9.02,9.57,8.47
Forza Horizon 4,Xbox One,9.25,9.57,8.94
Pokemon Moon,3DS,9.11,9.56,8.65
The Walking Dead: A New Frontier,PS4,8.39,9.56,7.21
Cuphead,PC,9.09,9.56,8.62
The Elder Scrolls V: Skyrim Special Edition,PS4,8.77,9.56,7.98
Motorsport Manager Mobile 3,iOS,9.01,9.56,8.47
Hyrule Warriors Legends,3DS,8.27,9.56,6.98
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PC,8.48,9.56,7.40
3D Shinobi III: Return of the Ninja Master,3DS,8.78,9.56,8.00
AVICII Invector,PC,8.59,9.56,7.62
One Finger Death Punch 2,PC,8.79,9.56,8.03
The Room VR: A Dark Matter,PC,8.59,9.56,7.61
Cat Quest,PC,8.55,9.56,7.53
Bullet Hell Monday,iOS,8.95,9.56,8.33
Layton: Curious Village in HD,Android,8.23,9.56,6.91
Trials of Mana,PS4,8.60,9.56,7.64
Pikuniku,PC,8.63,9.56,7.71
Mini Metro,PC,8.68,9.56,7.81
Desperados III,PC,9.03,9.56,8.50
To the Moon,PC,8.75,9.56,7.94
YO-KAI WATCH,3DS,8.62,9.56,7.69
Brigador,PC,8.42,9.55,7.29
Devil Daggers,PC,8.68,9.55,7.80
Outlast,PC,8.68,9.55,7.81
YO-KAI WATCH 2: Fleshy Souls,3DS,8.36,9.55,7.17
Luigi's Mansion 3,Switch,9.06,9.55,8.56
"Papers, Please",PC,8.83,9.55,8.12
Wandersong,PC,8.70,9.55,7.85
Fran Bow,PC,8.26,9.55,6.97
Animal Crossing: New Horizons,Switch,9.26,9.55,8.96
Through the Ages,iOS,8.94,9.55,8.33
Guilty Gear Xrd -REVELATOR-,PS3,8.71,9.55,7.88
NieR Automata - Game of the YoRHa Edition,PS4,8.89,9.55,8.24
Devil May Cry 4: Special Edition,PS4,8.60,9.55,7.65
Sid Meier's Civilization V,PC,9.13,9.55,8.72
Far Cry 3: Classic Edition,PS4,8.37,9.54,7.19
Fantasy Life,3DS,8.63,9.54,7.71
Night in the Woods,PS4,9.05,9.54,8.57
Deemo,iOS,8.80,9.54,8.06
Theatrhythm Final Fantasy,3DS,8.76,9.54,7.98
Xenoblade Chronicles X,Wii U,9.05,9.54,8.56
Killing Floor,PC,8.39,9.54,7.23
Final Fantasy VII Remake,PS4,9.15,9.54,8.76
Moss,PS4,8.97,9.54,8.40
3D Gunstar Heroes,3DS,8.81,9.54,8.08
Story of Seasons: Friends of Mineral Town,PC,8.59,9.54,7.65
Dragon's Crown Pro,PS4,8.79,9.54,8.05
Cat Quest II,PC,8.61,9.54,7.69
Life Goes On,PC,8.48,9.54,7.42
Downwell,PC,8.90,9.54,8.26
The Legend of Zelda: Breath of the Wild,Switch,9.55,9.54,9.56
